,Title,Artist,Current Position,Last Week Position,Peak Position,Weeks On Chart,New to Chart?
0,Stay,The Kid LAROI & Justin Bieber,1,1,1,5,False
1,Good 4 U,Olivia Rodrigo,2,2,1,13,False
2,Bad Habits,Ed Sheeran,3,5,3,7,False
3,Kiss Me More,Doja Cat Featuring SZA,4,6,3,18,False
4,Levitating,Dua Lipa Featuring DaBaby,5,3,2,45,False
5,Take My Breath,The Weeknd,6,0,6,1,True
6,Butter,BTS,7,4,1,12,False
7,Industry Baby,Lil Nas X & Jack Harlow,8,7,2,3,False
8,Montero (Call Me By Your Name),Lil Nas X,9,8,1,20,False
9,Deja Vu,Olivia Rodrigo,10,9,3,19,False
10,Save Your Tears,The Weeknd & Ariana Grande,11,10,1,35,False
11,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,12,13,1,21,False
12,Happier Than Ever,Billie Eilish,13,11,11,2,False
13,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),14,12,1,23,False
14,Fancy Like,Walker Hayes,15,15,14,8,False
15,You Right,Doja Cat & The Weeknd,16,18,11,7,False
16,Heartbreak Anniversary,Giveon,17,17,16,26,False
17,Blinding Lights,The Weeknd,18,16,1,88,False
18,Leave Before You Love Me,Marshmello X Jonas Brothers,19,20,19,12,False
19,Need To Know,Doja Cat,20,32,20,9,False
20,Glad You Exist,Dan + Shay,21,25,21,27,False
21,Volvi,Aventura x Bad Bunny,22,37,22,2,False
22,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,23,21,20,15,False
23,Forever After All,Luke Combs,24,23,2,42,False
24,Rapstar,Polo G,25,19,1,18,False
25,Late At Night,Roddy Ricch,26,29,20,10,False
26,Lil Bit,Nelly & Florida Georgia Line,27,26,23,21,False
27,Without You,The Kid LAROI,28,22,8,36,False
28,Thot Shit,Megan Thee Stallion,29,30,16,9,False
29,Astronaut In The Ocean,Masked Wolf,30,28,6,26,False
30,Heat Waves,Glass Animals,31,31,19,30,False
31,Famous Friends,Chris Young + Kane Brown,32,36,21,20,False
32,Traitor,Olivia Rodrigo,33,49,9,12,False
33,Waves,Luke Bryan,34,35,34,8,False
34,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),35,14,14,2,False
35,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,36,34,13,23,False
36,Telepatia,Kali Uchis,37,33,25,25,False
37,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,38,24,24,11,False
38,Things A Man Oughta Know,Lainey Wilson,39,45,39,13,False
39,Wockesha,Moneybagg Yo,40,42,33,16,False
40,Arcade,Duncan Laurence,41,50,41,18,False
41,My Ex's Best Friend,Machine Gun Kelly X blackbear,42,47,20,52,False
42,Country Again,Thomas Rhett,43,51,43,15,False
43,Essence,Wizkid Featuring Tems,44,54,44,6,False
44,Whole Lotta Money,BIA Featuring Nicki Minaj,45,43,16,5,False
45,Single Saturday Night,Cole Swindell,46,40,26,15,False
46,Ain't Shit,Doja Cat,47,41,24,7,False
47,Motley Crew,Post Malone,48,39,13,5,False
48,Chasing After You,Ryan Hurd With Maren Morris,49,46,46,15,False
49,Beggin',Maneskin,50,44,35,7,False
50,If I Didn't Love You,Jason Aldean & Carrie Underwood,51,52,15,3,False
51,Pepas,Farruko,52,66,52,3,False
52,2055,Sleepy Hallow,53,53,53,4,False
53,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,54,79,54,6,False
54,Permission To Dance,BTS,55,27,1,5,False
55,Yonaguni,Bad Bunny,56,55,10,10,False
56,Todo de Ti,Rauw Alejandro,57,56,32,11,False
57,We Didn't Have Much,Justin Moore,58,60,58,8,False
58,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,59,58,53,16,False
59,Wild Side,Normani Featuring Cardi B,60,61,14,4,False
60,You,Regard x Troye Sivan x Tate McRae,61,62,58,9,False
61,A-O-K,Tai Verdes,62,67,62,6,False
62,Love Again,Dua Lipa,63,65,63,4,False
63,Memory,Kane Brown X blackbear,64,68,50,5,False
64,I Was On A Boat That Day,Old Dominion,65,64,64,6,False
65,Don't Go Yet,Camila Cabello,66,63,42,3,False
66,SUVs (Black On Black),Jack Harlow & Pooh Shiesty,67,0,67,1,True
67,Tombstone,Rod Wave,68,71,11,20,False
68,You Should Probably Leave,Chris Stapleton,69,89,69,6,False
69,My Boy,Elvie Shane,70,83,70,7,False
70,Come Through,H.E.R. Featuring Chris Brown,71,82,64,10,False
71,Straightenin,Migos,72,76,23,13,False
72,my.life,"J. Cole, 21 Savage & Morray",73,74,2,13,False
73,Memory I Don't Mess With,Lee Brice,74,88,74,3,False
74,Blame It On You,Jason Aldean,75,75,30,16,False
75,Cold As You,Luke Combs,76,0,76,2,False
76,NDA,Billie Eilish,77,59,39,5,False
77,Gyalis,Capella Grey,78,95,78,2,False
78,EPMD 2,Nas Featuring Eminem & EPMD,79,0,79,1,True
79,Repeat It,Lil Tecca & Gunna,80,0,80,1,True
80,You Time,Scotty McCreery,81,96,81,2,False
81,Buy Dirt,Jordan Davis Featuring Luke Bryan,82,0,82,1,True
82,AM,Nio Garcia X J Balvin X Bad Bunny,83,85,41,7,False
83,Woman,Doja Cat,84,0,84,2,False
84,Over The Top,Smiley Featuring Drake,85,78,57,3,False
85,Lose,KSI x Lil Wayne,86,0,86,1,True
86,Hats Off,"Lil Baby, Lil Durk & Travis Scott",87,94,16,10,False
87,i hope ur miserable until ur dead,Nessa Barrett,88,0,88,1,True
88,Favorite Crime,Olivia Rodrigo,89,86,16,12,False
89,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",90,87,87,2,False
90,Ball If I Want To,DaBaby,91,73,39,8,False
91,Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino,92,77,41,3,False
92,Knowing You,Kenny Chesney,93,0,93,1,True
93,WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",94,0,14,6,False
94,Outside,MO3 X OG Bobby Billions,95,98,92,6,False
95,Next Girl,Carly Pearce,96,0,86,3,False
96,Happier,Olivia Rodrigo,97,93,15,12,False
97,Twerkulator,City Girls,98,0,51,9,False
98,Fiel,"Los Legendarios, Wisin & Jhay Cortez",99,97,62,9,False
99,Rare,Nas,100,0,100,1,True
